"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSMUSG00000000028","1.08139","1.2436200000000002","4.85574","5.01777","6.55647","2.66045","4.20611","7.2695","Aurkb"
"ENSMUSG00000017499","0.23083","0.036513","2.38139","2.16122","3.8581199999999995","0.971499","1.48514","24.4418","Cdc23"
"ENSMUSG00000020687","7.96758","6.44815","18.6847","16.6177","18.4685","13.1627","15.5947","18.3051","Cdc26"
"ENSMUSG00000020897","0.232604","0.288508","7.7762899999999995","8.49992","12.9972","5.67157","6.92785","13.6781","Cdc27"
"ENSMUSG00000024370","11.6996","10.54","27.1416","24.4996","25.6069","17.6497","20.9976","5.08283","Cdc45"
"ENSMUSG00000027323","0.217335","0.466008","3.62869","4.031680000000001","5.80323","2.93952","2.49621","2.1914","Cdc6"
"ENSMUSG00000029283","0.822207","0.7153189999999999","6.6921","5.94925","6.925739999999999","2.9395","4.57714","4.40569","Cdc7"
"ENSMUSG00000046179","0.171628","0.274832","3.9179699999999995","3.3876199999999996","4.37328","1.4898","2.90551","10.6248","Cdk7"
"ENSMUSG00000066149","11.6728","11.8218","17.862000000000002","16.801","18.7876","13.6064","15.5954","4.11112","E2f8"
"ENSMUSG00000069089","6.94623","5.692480000000001","12.3152","9.53774","10.8333","9.22113","8.73875","3.93846","Rad51"
